No.,Pokemon,Biome,Excluded,Excluded Blocks,Time,Weather,Context,Preset,Requirements,Bucket,Weight,Lv. Min,Lv. Max,canseeSky
811,Thwackey,forest,"snowy, taiga","fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,clear,grounded,,"minX = 0, neededNearbyBlocks = flowering_azalea, neededBaseBlocks = moss_block",uncommon,250.0,20,25,true
812,Rillaboom,forest,"snowy, taiga","fire, soul_fire, lava, jack_o_lantern, campfire, soul_campfire, torch, wall_torch, soul_torch, wall_soul_torch, redstone_torch, redstone_wall_torch",day,clear,grounded,,"minX = 0, neededNearbyBlocks = flowering_azalea, neededBaseBlocks = moss_block",uncommon,250.0,35,45,true
813,Scorbunny,grassland,,water,day,clear,grounded,,"minZ = 0, neededNearbyBlocks = azalea, neededBaseBlocks = hay_block",common,500.0,5,15,true
814,Raboot,grassland,,water,day,clear,grounded,,"minZ = 0, neededNearbyBlocks = azalea, neededBaseBlocks = hay_block",uncommon,250.0,20,25,true
815,Cinderace,grassland,,water,day,clear,grounded,,"minZ = 0, neededNearbyBlocks = azalea, neededBaseBlocks = hay_block",uncommon,250.0,35,45,true
816,Sobble,forest,freezing,"grass, grass_block",day,any,grounded,,"maxZ = 0, neededNearbyBlocks = water, neededBaseBlocks = mud",common,500.0,5,15,true
817,Drizzile,forest,freezing,"grass, grass_block",day,any,grounded,,"maxZ = 0, neededNearbyBlocks = water, neededBaseBlocks = mud",uncommon,250.0,20,25,true
818,Inteleon,forest,freezing,"grass, grass_block",day,any,grounded,,"maxZ = 0, neededNearbyBlocks = water, neededBaseBlocks = mud",uncommon,250.0,35,45,true
819,Skwovet,overworld,,,any,any,grounded,natural,neededNearbyBlocks = sweet_berry_bush,common,2.0,5,20,true
820,Greedent,overworld,,,any,any,grounded,natural,neededNearbyBlocks = sweet_berry_bush,uncommon,1.0,25,40,true
821,Rookidee,"forest, hills, mountain",,,any,any,grounded,,,common,9,7,17,true
822,Corvisquire,"forest, hills, mountain",,,any,any,grounded,,,common,0.9,18,35,true
823,Corviknight,"forest, hills, mountain",,,any,any,grounded,,,common,0.1,38,55,true
824,Blipbug,"forest, lush",spooky,,day,any,grounded,natural,,common,4,2,9,ANY
825,Dottler,"forest, lush",spooky,,day,any,grounded,natural,,uncommon,2,10,25,ANY
826,Orbeetle,"forest, lush",spooky,,day,any,grounded,natural,,uncommon,0.2,26,50,ANY
826,Orbeetle,end,,,any,any,grounded,natural,,uncommon,1,40,60,ANY
827,Nickit,overworld,,,any,any,grounded,natural,"neededNearbyBlocks = sweet_berry_bush, campfire, chest",rare,2.0,5,17,true
828,Thievul,forest,,,any,any,grounded,natural,"neededNearbyBlocks = sweet_berry_bush, campfire, chest",rare,0.2,18,35,true
829,Gossifleur,"floral, magical, plains",,,any,any,grounded,natural,,uncommon,3,5,19,true
830,Eldegoss,"floral, magical, plains",,,any,any,grounded,natural,,rare,1,20,42,true
833,Chewtle,"freshwater, beach",,,any,any,grounded,"natural, freshwater",,uncommon,6,7,20,ANY
834,Drednaw,"freshwater, beach",,,any,any,grounded,"natural, freshwater",,uncommon,1,22,40,ANY
835,Yamper,savanna,,,dawn,any,grounded,,,common,3,7,20,true
836,Boltund,savanna,,,dawn,any,grounded,,,uncommon,2,25,40,true
837,Rolycoly,cave,,,any,any,grounded,natural,,uncommon,3.0,7,16,ANY
837,Rolycoly,"mountain, hills",,,any,any,grounded,natural,"neededNearbyBlocks = coal_ore, deepslate_coal_ore",common,5.0,7,16,ANY
837,Rolycoly,volcanic,,,any,any,grounded,natural,"neededNearbyBlocks = coal_ore, deepslate_coal_ore",common,7.0,7,16,ANY
838,Carkol,cave,,,any,any,grounded,natural,,rare,2.0,18,32,ANY
838,Carkol,"mountain, hills",,,any,any,grounded,natural,"neededNearbyBlocks = coal_ore, deepslate_coal_ore",uncommon,3.0,8,32,ANY
838,Carkol,volcanic,,,any,any,grounded,natural,"neededNearbyBlocks = coal_ore, deepslate_coal_ore",uncommon,4.0,8,32,ANY
839,Coalossal,cave,,,any,any,grounded,natural,,rare,0.5,34,50,ANY
839,Coalossal,"mountain, hills",,,any,any,grounded,natural,"neededNearbyBlocks = coal_ore, deepslate_coal_ore",rare,4.0,34,50,ANY
839,Coalossal,volcanic,,,any,any,grounded,natural,"neededNearbyBlocks = coal_ore, deepslate_coal_ore",uncommon,1.0,34,50,ANY
840,Applin,forest,,,day,any,grounded,"natural, foliage","neededNearbyBlocks = oak_log, oak_leaves",rare,2.0,10,25,true
841,Flapple,forest,,,day,any,grounded,"natural, treetop","neededNearbyBlocks = oak_log, oak_leaves",rare,0.2,30,50,true
842,Appletun,forest,,,day,any,grounded,natural,"neededNearbyBlocks = oak_log, oak_leaves",rare,0.2,30,50,true
843,Silicobra,desert,,,any,any,grounded,,"neededNearbyBlocks = sand, red_sand",uncommon,4,15,35,ANY
844,Sandaconda,desert,,,any,any,grounded,,"neededNearbyBlocks = sand, red_sand",rare,1,36,50,ANY
845,Cramorant,"freshwater, beach",#terralith:ice_marsh,,any,any,grounded,"natural, freshwater",,rare,3.0,15,35,true
846,Arrokuda,freshwater,,,any,any,submerged,"underwater, freshwater",,uncommon,2.0,10,25,true
847,Barraskewda,freshwater,,,any,any,submerged,"underwater, freshwater",,rare,1.0,26,40,true
848,Toxel,swamp,,,any,any,grounded,natural,,uncommon,3.0,5,25,true
849,Toxtricity,"swamp, swamp",,,any,any,grounded,natural,,rare,1.0,30,45,true
850,Sizzlipede,"badlands, basalt_deltas",,,any,any,grounded,natural,,common,5.4,10,30,true
850,Sizzlipede,nether_wastes,,,any,any,grounded,natural,,common,5.4,10,30,ANY
851,Centiskorch,"badlands, basalt_deltas",,,any,any,grounded,natural,,common,0.6,28,52,true
851,Centiskorch,nether_wastes,,,any,any,grounded,natural,,common,0.6,28,52,ANY
852,Clobbopus,"beach, ocean",,,any,any,grounded,natural,,uncommon,1.0,10,30,true
853,Grapploct,"beach, ocean",,,any,any,grounded,natural,,rare,0.5,35,50,true
854,Sinistea,forest,,,any,any,grounded,,,rare,1.0,10,30,ANY
855,Polteageist,forest,,,any,any,grounded,,,rare,0.1,30,45,ANY
856,Hatenna,magical,,,any,any,grounded,natural,,rare,2.0,10,30,true
857,Hattrem,magical,,,any,any,grounded,natural,,rare,0.2,32,40,true
858,Hatterene,magical,,,any,any,grounded,natural,,ultra-rare,0.5,42,55,true
859,Impidimp,"magical, warped_forest",,,night,any,grounded,natural,,uncommon,5.4,10,30,true
860,Morgrem,"magical, warped_forest",,,night,any,grounded,natural,,uncommon,0.54,32,40,true
861,Grimmsnarl,"magical, warped_forest",,,night,any,grounded,natural,,rare,0.2,42,55,true
862,Obstagoon,"grassland, forest",spooky,,night,any,grounded,natural,,uncommon,1.0,35,50,true
862,Obstagoon,overworld,,,any,any,grounded,"natural, river",,uncommon,1.0,35,50,true
863,Perrserker,tundra,,,any,any,grounded,natural,,ultra-rare,1.0,28,50,true
864,Cursola,ocean,,,any,any,seafloor,underwater,,rare,0.8,40,55,true
865,Sirfetch'D,freshwater,,,any,any,grounded,freshwater,,rare,0.8,35,50,true
866,Mr. Rime,snowy,,,any,any,grounded,natural,,rare,1.0,35,50,true
867,Runerigus,abyss,,,any,any,grounded,underground,,common,18.0,45,66,false
870,Falinks,"arid, desert, temperate",,,any,any,grounded,natural,,uncommon,5,10,45,true
871,Pincurchin,beach,,,any,any,seafloor,underwater,,uncommon,2.0,20,40,true
872,Snom,snowy,,,night,any,grounded,,,uncommon,9,10,35,true
873,Frosmoth,snowy,,,night,any,grounded,,,uncommon,0.1,35,55,true
874,Stonjourner,hills,,,any,any,grounded,natural,,rare,0.3,15,50,true
875,Eiscue,frozen,,,any,any,grounded,natural,,common,6.0,12,47,true
876,Indeedee,magical,,,any,any,grounded,natural,,rare,1.0,28,46,true
877,Morpeko,hills,,,any,any,grounded,natural,,uncommon,6.0,5,20,true
878,Cufant,savanna,,,any,any,grounded,natural,,uncommon,2.0,15,32,true
879,Copperajah,savanna,,,any,any,grounded,natural,,rare,0.5,35,50,true
884,Duraludon,mountain,,,any,any,grounded,natural,,ultra-rare,1.0,55,75,ANY
885,Dreepy,"spooky, savanna",,,night,any,grounded,,,rare,5.4,12,30,true
886,Drakloak,"spooky, savanna",,,night,any,grounded,,,rare,0.54,24,47,true
887,Dragapult,"spooky, savanna",,,night,any,grounded,,,rare,0.06,48,60,true
